region	hemisphere	gray_matter_volume	white_matter_volume	csf_volume
A8m	L	2.24	0.81	1.28
A8m	R	2.84	1.01	1.81
A9l	L	2.76	0.72	1.62
A9l	R	2.98	0.99	2.0
A6dl	L	2.35	1.03	1.07
A6dl	R	2.11	0.83	1.42
A10m	L	2.58	1.24	1.97
A10m	R	2.37	1.01	2.1
mAmyg	L	0.99	0.44	0.55
mAmyg	R	1.27	0.4	0.55
lAmyg	L	1.39	0.45	0.96
lAmyg	R	0.99	0.21	0.62
rHipp	L	1.3	0.43	0.86
rHipp	R	1.02	0.32	0.85
cHipp	L	0.63	0.0	0.17
cHipp	R	0.87	0.01	0.21
